DATE_ONLY,TIME,CAMPUS,TARGET ROOM,ROOM EXAM CAPACITY,TOTAL_STUDENTS,COURSES MERGED,UTILIZATION
2025-12-18,07g00,CS2,H6-308,76,76,SP1039(76),1.0
2025-12-18,07g00,CS2,H3-201,75,75,SP1039(75),1.0
2025-12-18,07g00,CS2,H3-301,75,75,SP1039(75),1.0
2025-12-18,07g00,CS2,H3-306,75,75,SP1039(75),1.0
2025-12-18,07g00,CS2,H3-401,75,75,SP1039(75),1.0
2025-12-18,07g00,CS2,H3-406,75,75,SP1039(75),1.0
2025-12-18,07g00,CS2,H3-501,75,75,SP1039(75),1.0
2025-12-18,07g00,CS2,H3-506,75,75,SP1039(75),1.0
2025-12-18,07g00,CS2,H1-101,73,73,SP1039(73),1.0
2025-12-18,07g00,CS2,H1-104,73,73,GE1027(73),1.0
2025-12-18,07g00,CS2,H1-307,71,71,CI2159(71),1.0
2025-12-18,07g00,CS2,H2-207,71,71,SP1039(71),1.0
2025-12-18,07g00,CS2,H6-311,71,71,"IM3035(61), ME2059(10)",1.0
2025-12-18,07g00,CS2,H6-305,68,68,"ME2059(35), IU4021(30), GE1027(3)",1.0
2025-12-18,07g00,CS2,H6-113,68,59,"GE1027(25), ME4083(22), CI2159(12)",0.8676470588235294
2025-12-18,09g30,CS1,B4-505,63,63,IM1033(63),1.0
2025-12-18,09g30,CS1,B4-406,57,57,IM1033(57),1.0
2025-12-18,09g30,CS1,C6-103,50,9,"IM1033(8), LA3019(1)",0.18
2025-12-18,09g30,CS2,H2-201,82,82,IM1033(82),1.0
2025-12-18,09g30,CS2,H2-401,82,82,IM1033(82),1.0
2025-12-18,09g30,CS2,H2-406,82,82,PH1005(82),1.0
2025-12-18,09g30,CS2,H2-306,82,18,"PH1005(13), IM1033(5)",0.21951219512195122
2025-12-18,13g00,CS1,B4-505,63,63,CO2007(63),1.0
2025-12-18,13g00,CS1,B4-406,57,57,CO2007(57),1.0
2025-12-18,13g00,CS1,C6-102,50,50,EE2033(50),1.0
2025-12-18,13g00,CS1,C6-103,50,50,CO2007(50),1.0
2025-12-18,13g00,CS1,B1-208,44,44,CO2007(44),1.0
2025-12-18,13g00,CS1,B1-306,44,44,EE2033(44),1.0
2025-12-18,13g00,CS1,B1-311,42,42,CI1007(42),1.0
